Date,Value
2017-06-30,82.05
2017-05-31,68.25
2017-04-30,59.61
2017-03-31,68.39
2017-02-28,71.77
2017-01-31,61.37
2016-12-31,53.45
2016-11-30,46.61
2016-10-31,50.23
2016-09-30,58.71
2016-08-31,65.16
2016-07-31,76.01
2016-06-30,79.05
2016-05-31,73.99
2016-04-30,64.81
2016-03-31,63.43
2016-02-29,62.94
2016-01-31,54.25
2015-12-31,53.11
2015-11-30,57.03
2015-10-31,71.23
2015-09-30,69.84
2015-08-31,75.58
2015-07-31,75.94
2015-06-30,77.35
2015-05-31,77.32
2015-04-30,60.98
2015-03-31,61.71
2015-02-28,61.84
2015-01-31,73.0
2014-12-31,82.81
2014-11-30,86.16
2014-10-31,101.9
2014-09-30,100.53
2014-08-31,109.2
2014-07-31,128.67
2014-06-30,115.27
2014-05-31,110.47
2014-04-30,120.33
2014-03-31,113.21
2014-02-28,86.35
2014-01-31,78.85
2013-12-31,78.57
2013-11-30,81.5
2013-10-31,87.76
2013-09-30,91.73
2013-08-31,96.12
2013-07-31,98.45
2013-06-30,98.1
2013-05-31,89.17
2013-04-30,77.95
2013-03-31,73.36
2013-02-28,83.08
2013-01-31,82.79
2012-12-31,80.22
2012-11-30,77.9
2012-10-31,79.72
2012-09-30,68.77
2012-08-31,86.38
2012-07-31,94.47
2012-06-30,91.87
2012-05-31,79.15
2012-04-30,79.85
2012-03-31,84.69
2012-02-29,86.41
2012-01-31,84.13
2011-12-31,83.93
2011-11-30,85.7
2011-10-31,92.48
2011-09-30,88.55
2011-08-31,103.02
2011-07-31,96.91
2011-06-30,94.54
2011-05-31,92.45
2011-04-30,92.06
2011-03-31,80.83
2011-02-28,83.22
2011-01-31,75.04
2010-12-31,68.81
2010-11-30,63.48
2010-10-31,71.15
2010-09-30,81.93
2010-08-31,83.15
2010-07-31,78.8
2010-06-30,78.72
2010-05-31,85.28
2010-04-30,77.58
2010-03-31,70.93
2010-02-28,66.19
2010-01-31,67.33
2009-12-31,61.85
2009-11-30,54.18
2009-10-31,50.95
2009-09-30,50.62
2009-08-31,49.56
2009-07-31,57.88
2009-06-30,56.96
2009-05-31,58.72
2009-04-30,57.89
2009-03-31,57.35
2009-02-28,57.37
2009-01-31,55.99
2008-12-31,53.7
2008-11-30,52.6
2008-10-31,63.67
2008-09-30,71.16
2008-08-31,84.56
2008-07-31,76.08
2008-06-30,73.9
2008-05-31,78.11
2008-04-30,61.15
2008-03-31,53.24
2008-02-29,57.86
2008-01-31,49.76
2007-12-31,53.28
2007-11-30,49.95
2007-10-31,56.69
2007-09-30,63.15
2007-08-31,70.36
2007-07-31,70.81
2007-06-30,74.06
2007-05-31,73.51
2007-04-30,65.42
2007-03-31,61.53
2007-02-28,65.68
2007-01-31,59.54
2006-12-31,60.59
2006-11-30,62.12
2006-10-31,64.32
2006-09-30,67.91
2006-08-31,71.93
2006-07-31,70.1
2006-06-30,74.38
2006-05-31,66.22
2006-04-30,55.96
2006-03-31,58.68
2006-02-28,58.43
2006-01-31,55.84
2005-12-31,60.7
2005-11-30,59.88
2005-10-31,64.88
2005-09-30,67.45
2005-08-31,69.66
2005-07-31,67.52
2005-06-30,67.47
2005-05-31,74.92
2005-04-30,69.0
2005-03-31,69.45
2005-02-28,69.23
2005-01-31,72.08
2004-12-31,72.18
2004-11-30,75.81
2004-10-31,72.7
2004-09-30,74.88
2004-08-31,76.03
2004-07-31,78.66
2004-06-30,78.36
2004-05-31,78.87
2004-04-30,65.28
2004-03-31,65.35
2004-02-29,61.03
2004-01-31,52.94
2003-12-31,48.68
2003-11-30,48.69
2003-10-31,52.54
2003-09-30,56.65
2003-08-31,56.69
2003-07-31,60.9
2003-06-30,64.81
2003-05-31,58.99
2003-04-30,49.26
2003-03-31,48.84
2003-02-28,48.16
2003-01-31,46.58
2002-12-31,43.67
2002-11-30,40.6
2002-10-31,42.81
2002-09-30,36.66
2002-08-31,46.11
2002-07-31,54.87
2002-06-30,50.41
2002-05-31,46.98
2002-04-30,44.78
2002-03-31,50.8
2002-02-28,55.14
2002-01-31,54.26
2001-12-31,47.41
2001-11-30,48.6
2001-10-31,57.29
2001-09-30,63.93
2001-08-31,71.54
2001-07-31,72.97
2001-06-30,72.92
2001-05-31,70.61
2001-04-30,64.63
2001-03-31,63.11
2001-02-28,53.8
2001-01-31,50.38
2000-12-31,54.76
2000-11-30,48.68
2000-10-31,54.89
2000-09-30,57.16
2000-08-31,59.49
2000-07-31,66.59
2000-06-30,69.5
2000-05-31,69.16
2000-04-30,66.95
2000-03-31,57.76
2000-02-29,54.91
2000-01-31,51.61
1999-12-31,50.94
1999-11-30,47.66
1999-10-31,46.59
1999-09-30,48.7
1999-08-31,53.25
1999-07-31,44.33
1999-06-30,45.92
1999-05-31,48.75
1999-04-30,39.45
1999-03-31,35.08
1999-02-28,37.34
1999-01-31,34.86
1998-12-31,19.1
1998-11-30,23.68
1998-10-31,38.59
1998-09-30,40.93
1998-08-31,49.06
1998-07-31,52.34
1998-06-30,60.45
1998-05-31,61.33
1998-04-30,50.75
1998-03-31,50.24
1998-02-28,50.38
1998-01-31,50.56
1997-12-31,56.52
1997-11-30,63.03
1997-10-31,65.95
1997-09-30,70.66
1997-08-31,77.41
1997-07-31,83.14
1997-06-30,83.17
1997-05-31,81.52
1997-04-30,76.86
1997-03-31,68.96
1997-02-28,72.48
1997-01-31,74.6
1996-12-31,76.51
1996-11-30,75.74
1996-10-31,76.59
1996-09-30,76.3
1996-08-31,124.77
1996-07-31,124.77
1996-06-30,102.34
1996-05-31,112.15
1996-04-30,99.53
1996-03-31,89.72
1996-02-29,78.51
1996-01-31,72.9
1995-12-31,71.5
1995-11-30,65.89
1995-10-31,78.51
1995-09-30,75.7
1995-08-31,78.08
1995-07-31,66.06
1995-06-30,55.55
1995-05-31,48.05
1995-04-30,51.05
1995-03-31,54.05
1995-02-28,55.68
1995-01-31,53.42
1994-12-31,45.43
1994-11-30,40.26
1994-10-31,45.41
1994-09-30,50.41
1994-08-31,60.12
1994-07-31,60.59
1994-06-30,61.27
1994-05-31,60.57
1994-04-30,59.98
1994-03-31,62.63
1994-02-28,67.84
1994-01-31,62.4
1993-12-31,57.53
1993-11-30,60.68
1993-10-31,66.79
1993-09-30,68.98
1993-08-31,68.43
1993-07-31,65.46
