Date,Value
2017-06-30,339.73
2017-05-31,350.18
2017-04-30,347.86
2017-03-31,366.1
2017-02-28,380.87
2017-01-31,379.59
2016-12-31,375.29
2016-11-30,368.37
2016-10-31,358.39
2016-09-30,355.9
2016-08-31,370.32
2016-07-31,390.4
2016-06-30,421.23
2016-05-31,388.51
2016-04-30,353.8
2016-03-31,326.94
2016-02-29,320.13
2016-01-31,323.2
2015-12-31,323.32
2015-11-30,319.08
2015-10-31,327.42
2015-09-30,323.55
2015-08-31,347.02
2015-07-31,372.35
2015-06-30,354.82
2015-05-31,351.95
2015-04-30,356.93
2015-03-31,359.6
2015-02-28,364.74
2015-01-31,367.49
2014-12-31,378.78
2014-11-30,379.34
2014-10-31,354.44
2014-09-30,368.85
2014-08-31,432.99
2014-07-31,463.23
2014-06-30,528.0
2014-05-31,546.03
2014-04-30,547.19
2014-03-31,522.0
2014-02-28,496.8
2014-01-31,476.1
2013-12-31,488.67
2013-11-30,476.66
2013-10-31,472.83
2013-09-30,503.24
2013-08-31,498.05
2013-07-31,548.35
2013-06-30,560.16
2013-05-31,542.2
2013-04-30,517.79
2013-03-31,536.08
2013-02-28,536.38
2013-01-31,526.05
2012-12-31,534.79
2012-11-30,533.03
2012-10-31,565.53
2012-09-30,615.18
2012-08-31,622.91
2012-07-31,609.45
2012-06-30,522.33
2012-05-31,520.93
2012-04-30,529.42
2012-03-31,496.29
2012-02-29,461.56
2012-01-31,441.73
2011-12-31,420.05
2011-11-30,428.83
2011-10-31,446.02
2011-09-30,490.91
2011-08-31,501.42
2011-07-31,501.83
2011-06-30,499.77
2011-05-31,498.77
2011-04-30,501.47
2011-03-31,498.74
2011-02-28,512.05
2011-01-31,511.1
2010-12-31,483.76
2010-11-30,459.96
2010-10-31,427.18
2010-09-30,390.23
2010-08-31,379.46
2010-07-31,370.98
2010-06-30,348.51
2010-05-31,349.06
2010-04-30,357.65
2010-03-31,348.95
2010-02-28,344.66
2010-01-31,358.97
2009-12-31,379.3
2009-11-30,370.71
2009-10-31,354.86
2009-09-30,349.05
2009-08-31,408.96
2009-07-31,398.16
2009-06-30,445.15
2009-05-31,422.28
2009-04-30,374.47
2009-03-31,333.66
2009-02-28,341.27
2009-01-31,364.72
2008-12-31,318.81
2008-11-30,329.14
2008-10-31,338.78
2008-09-30,437.84
2008-08-31,471.07
2008-07-31,554.15
2008-06-30,552.47
2008-05-31,489.09
2008-04-30,482.79
2008-03-31,495.69
2008-02-29,508.22
2008-01-31,461.72
2007-12-31,423.08
2007-11-30,389.02
2007-10-31,358.4
2007-09-30,347.56
2007-08-31,309.01
2007-07-31,313.48
2007-06-30,302.83
2007-05-31,283.21
2007-04-30,270.39
2007-03-31,276.96
2007-02-28,278.04
2007-01-31,255.87
2006-12-31,243.31
2006-11-30,244.0
2006-10-31,217.89
2006-09-30,199.31
2006-08-31,203.84
2006-07-31,217.25
2006-06-30,216.5
2006-05-31,217.36
2006-04-30,208.9
2006-03-31,212.71
2006-02-28,214.37
2006-01-31,214.01
2005-12-31,216.54
2005-11-30,210.7
2005-10-31,211.17
2005-09-30,212.02
2005-08-31,230.43
2005-07-31,253.35
2005-06-30,254.74
